trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits
1,358.686277690011,357.2723435000853,368.7680309500479,405.1870850000796,55353473235,2674455467,13323750625,4537544108,74.35,0
2,356.7657587700092,355.47765550029453,366.3409094000599,395.403245000125,55360242072,2645194541,13490819251,4502249456,76.0,0
3,357.6560736466611,356.1644424996757,368.8550154001632,417.38281300013114,55359826965,2659637342,13473443157,4537128330,76.0,0
4,356.4637341099933,355.12903000017104,365.0811535999537,415.6062639999618,55365596579,2627094798,13309079388,4495898629,75.45,0
5,354.5261066800004,353.41690750010457,361.1647556497701,386.5205260003677,55437334857,2625412099,13273760603,4473504279,76.55,0
6,359.4825960366612,358.1440810000913,368.4128250496087,421.38493899983587,55366007107,2654057877,13421219613,4568933867,76.55,0
7,358.5189297933448,357.04598400025134,369.13786500001606,396.03061900015746,55421155679,2676477690,13563717572,4549192286,76.0,0
8,357.04913539332364,355.68092500011517,367.3701150501757,392.86726899990754,55470914030,2654463793,13447168939,4580393368,76.0,0
