trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits
1,514.1087197600002,512.6717690000078,527.4996059003342,572.9285150000578,73892197721,3659348798,18263396563,6157153656,74.35,0
2,510.26181401000787,508.71696700005486,525.6383437497334,574.850177999906,74075187129,3640683959,18083893549,6115776615,77.65,0
3,510.3035519000059,508.5942310001883,526.8535624999004,553.0222510001295,73869433842,3651959101,18140543875,6113017191,78.2,0
4,511.8448952000078,510.0276595003379,526.6688270500708,624.7689800002263,74048297253,3639694106,17886647305,6104156866,77.65,0
5,512.2831492533306,509.65304099986497,527.8469686501921,617.4764589995902,73933759855,3641206471,18109314483,6087564681,78.75,0
6,511.9888715000494,510.17730800003847,525.5234673499672,571.0126220001257,73951923319,3646643435,18357665760,6104251721,78.2,0
7,514.1315092099952,511.86578850047226,527.3723781504032,573.2210549995216,73973966184,3664496380,18326466225,6153997280,78.2,0
8,513.8618413666609,511.4490040000419,527.2970241001985,597.2992329998306,74023220541,3662542079,18183306229,6136096523,78.2,0
