trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits
1,2226.307122759978,2225.521560500056,2255.757901251218,2278.52532200086,301797327813,16519661658,79528548466,31235175504,78.75,0
2,2217.1940264866744,2217.354786999749,2244.60628159959,2258.5285820005083,300808643167,16468844331,79378186239,31069900684,79.85,0
3,2216.962027766561,2215.599621500587,2244.135414849552,2286.8982310010324,302335643830,16539196962,79636991368,31297939686,79.3,0
4,2220.8724327599093,2220.2861054993264,2251.0611917511596,2274.7025369990297,302720562795,16593084163,80048889271,31221585157,79.3,0
5,2235.6719603733836,2235.9677199992802,2262.673799851109,2282.8676119988813,300923312463,16675175739,80886893806,31353934221,78.2,0
6,2226.224824390059,2225.243945499642,2256.9604380990313,2284.0753989985387,300714657035,16544580399,79679505884,31223497033,78.2,0
7,2222.629849616569,2223.2306045007135,2248.9643049505503,2305.5543459995533,302197787525,16458913370,80292392811,31109990035,78.75,0
8,2224.327052123347,2224.336117999883,2255.8573987503223,2283.03901199979,301775726620,16510507252,80199106892,31142042566,78.2,0
