trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits
1,1578.5273710666931,1581.501688499884,1609.6911986498526,1619.5306650006387,223596070791,11967527077,58903889628,22516444514,78.75,0
2,1574.807729459999,1575.1212270001815,1601.6515925502063,1647.121564000372,224035960279,11916098203,58470373688,22336908334,78.75,0
3,1569.9179842966685,1570.9294315001898,1598.341106049611,1653.2172500001252,222446771220,11907581233,58915845328,22377403785,78.75,0
4,1577.7874750399951,1577.8924479996022,1603.1046032494942,1615.4270850001922,223843377556,11939559025,59270727734,22476758578,79.3,0
5,1576.8892072433603,1577.1894545005125,1603.737948899834,1660.8198780004386,223536054745,11909425658,59122512493,22449828667,79.85,0
6,1575.280193406658,1574.5670339993012,1602.4509362495337,1623.3236359994407,223798163026,11917818623,59251653808,22302077702,79.3,0
7,1573.5883434200302,1572.800758500307,1598.951505100149,1642.3174810006458,223789375636,11920881460,59202170771,22486434805,79.3,0
8,1568.0036999200152,1566.9090119999964,1594.4067480498234,1636.0750679996272,223877609889,11844420721,58644909529,22282988810,80.4,0
