trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,ort_threads,ort_version
1,1543.7717847800002,1534.8417974999934,1582.3233003500122,1780.8453850000205,223001116943,11938566863,58767081249,22395925236,76.0,0,4.14,11.747,5437.54,18.1251,920,16.586,16.439,16.349,0.7147,100,98,0,1,performance,4,1.23.2
2,1566.987200193334,1572.7892429999883,1599.2270281000344,1623.9043199999514,223490261774,11983734072,59693270549,22620384868,77.1,0,4.749,11.931,5600.6,18.6687,933,16.378,16.3,16.255,0.732,98,96,0,1,performance,4,1.23.2
3,1569.3983594933259,1574.5986220000532,1598.7716828498947,1630.5467570000474,222719182813,11960389052,59102011319,22477085835,77.65,0,4.771,11.93,5611.86,18.7062,935,16.277,16.232,16.209,0.735,96,94,0,1,performance,4,1.23.2
4,1563.004653683335,1565.6985695000003,1592.224147150091,1620.478804999948,223523234386,11914948753,59015268741,22430506137,77.1,0,4.773,11.951,5603.71,18.679,932,16.222,16.192,16.172,0.7381,94,92,0,1,performance,4,1.23.2
5,1564.0338511699897,1566.8369720001465,1592.2643671499827,1623.0458079999153,223536169222,11914012470,59013769932,22433043907,77.1,0,4.771,11.964,5610.1,18.7003,932,16.198,16.166,16.155,0.7401,92,90,0,1,performance,4,1.23.2
6,1563.1014471600006,1568.8428480000312,1594.4943124497286,1639.0989900000932,223171033136,11902980199,59271803987,22345493096,77.65,0,4.776,11.948,5602.07,18.6736,932,16.17,16.148,16.136,0.7399,90,88,0,1,performance,4,1.23.2
7,1565.9283000666605,1568.7669760000063,1594.5876073998988,1613.071260000197,223435760410,11844569401,59204844345,22295720927,77.1,0,4.787,11.947,5608.44,18.6948,933,16.158,16.133,16.126,0.7405,88,86,0,1,performance,4,1.23.2
8,1555.722436513312,1559.4510214996262,1583.735059250148,1595.4690030002894,223292093991,11777969190,58378041939,22119501526,78.2,0,4.79,11.972,5584.6,18.6153,927,16.142,16.117,16.106,0.7428,85,83,0,1,performance,4,1.23.2
