trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,ort_threads,ort_version
1,354.4065252000011,353.2697169999892,364.0190162001204,389.52570200012815,55370329106,2616001770,13236660983,4482628768,77.65,0,4.715,12.169,1286.93,4.2898,211,16.409,16.364,16.337,0.7437,98,98,0,1,performance,4,1.23.2
2,357.9308400033362,355.66200549999394,368.43471500008036,392.29016900003444,55431722595,2655909447,13319507761,4525539797,78.75,0,4.796,12.323,1315.53,4.3851,213,16.363,16.327,16.305,0.7548,98,97,0,1,performance,4,1.23.2
3,359.9049064333387,357.32520499993825,367.5408911500085,400.6784329999391,55270126846,2666054939,13659077168,4562866776,79.3,0,4.8,12.294,1324.95,4.4165,215,16.334,16.299,16.286,0.7543,97,97,0,1,performance,4,1.23.2
4,359.3100408466671,357.03331250010706,369.7568254499174,404.611339999974,55456124652,2671646620,13517828202,4589445938,79.3,0,4.807,12.309,1326.06,4.4202,215,16.308,16.275,16.26,0.7563,97,96,0,1,performance,4,1.23.2
5,359.45319871999646,357.418872500034,370.8863231501027,404.2985730000055,55408725039,2660725895,13480600178,4574369833,78.75,0,4.81,12.269,1321.94,4.4065,215,16.286,16.256,16.241,0.7548,96,95,0,1,performance,4,1.23.2
6,355.65522918333954,354.52292599984503,363.6774119999927,392.92769599978783,55338554770,2625179337,13309611517,4494500691,77.65,0,4.815,12.266,1303.39,4.3446,212,16.267,16.239,16.225,0.7554,95,95,0,1,performance,4,1.23.2
7,357.865999373333,356.58928200018636,368.70591839981444,402.84429000030286,55279436278,2639222343,13426451807,4525835120,77.1,0,4.81,12.208,1303.05,4.3435,213,16.25,16.226,16.221,0.7524,95,94,0,1,performance,4,1.23.2
8,357.17244794332754,356.0612865001076,366.0656890501741,392.2877969998808,55309039406,2666565533,13389294950,4536608777,76.55,0,4.816,12.221,1304.45,4.3482,213,16.239,16.213,16.203,0.7538,94,94,0,1,performance,4,1.23.2
