trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,ort_threads,ort_version
1,2210.5724162933348,2211.450441499892,2244.4913540502057,2263.4513709999737,301792141189,16490759650,80482415080,31230010292,78.2,0,4.78,11.86,7862.39,26.208,1317,16.13,16.09,16.064,0.7371,83,80,0,1,performance,4,1.23.2
2,2213.3490060833383,2215.4898100002356,2242.7345450999383,2260.139381999579,301954548611,16488395592,79142211277,31151578028,78.2,0,4.785,11.857,7872.16,26.2405,1319,16.083,16.01,15.949,0.7406,80,77,0,1,performance,4,1.23.2
3,2211.113789393297,2212.71905399999,2240.163698850529,2267.4565079996682,302164159476,16557656297,80427322772,31273442124,78.75,0,4.781,11.87,7867.44,26.2248,1317,15.971,15.869,15.793,0.748,77,74,0,1,performance,4,1.23.2
4,2208.72404980331,2209.935771999426,2235.2571413000533,2258.5599169997295,302510915133,16560654860,79833280313,31220097336,78.75,0,4.796,11.854,7851.61,26.172,1316,15.803,15.708,15.638,0.7547,74,71,0,1,performance,4,1.23.2
5,2216.39064344334,2219.1012020002745,2246.5637028997207,2260.093462000441,302897080053,16576300362,79859475204,31296011399,77.65,0,4.79,11.836,7868.95,26.2298,1321,15.651,15.561,15.496,0.7606,71,68,0,1,performance,4,1.23.2
6,2223.7820354400596,2224.606065500666,2254.0184246000535,2279.2207290003716,302743141047,16668649607,80128904858,31442275770,78.2,0,4.815,11.812,7877.67,26.2589,1325,15.524,15.433,15.375,0.7654,68,65,0,1,performance,4,1.23.2
7,2212.471479266672,2214.949558000626,2241.0357630986255,2253.358793001098,302438838373,16535285657,81084875360,31296476588,77.65,0,4.826,11.829,7847.07,26.1569,1318,15.397,15.322,15.278,0.7721,65,62,0,1,performance,4,1.23.2
8,2214.57995290335,2215.0097194999034,2244.505359048435,2265.7902780010772,301763547701,16489590809,79775834476,31147199113,77.1,0,4.784,11.778,7819.66,26.0655,1319,15.285,15.226,15.181,0.7736,62,59,0,1,performance,4,1.23.2
