trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,ort_threads,ort_version
1,511.93698422998295,510.80894349979644,524.8384947002705,544.3969150001067,74131373498,3671057583,18329145405,6153174495,76.0,0,4.621,11.916,1830.13,6.1004,306,16.225,16.198,16.186,0.7357,93,92,0,1,performance,4,1.23.2
2,508.5222450799938,507.2175140001036,519.9968776000333,547.6189539999723,73691085470,3631614673,18060988094,6074308286,76.55,0,4.816,12.109,1841.61,6.1387,303,16.205,16.183,16.177,0.7482,92,92,0,1,performance,4,1.23.2
3,511.21101379331026,509.5783399999618,527.238237450365,649.3521459997282,73984287672,3637683293,18164792434,6184243926,76.0,0,4.809,12.08,1848.87,6.1629,305,16.196,16.174,16.17,0.7469,92,91,0,1,performance,4,1.23.2
4,510.78215185999096,509.43104400016637,523.1263729500597,546.9085639997502,74045472873,3672620127,18250129326,6144509326,76.0,0,4.835,12.11,1847.78,6.1593,304,16.19,16.166,16.161,0.7491,91,90,0,1,performance,4,1.23.2
5,511.7564099233383,510.54215550016124,526.9993231499029,550.9746600000653,74099698585,3647581058,18432523045,6114311921,76.0,0,4.81,12.106,1853.08,6.1769,305,16.181,16.159,16.155,0.7492,90,90,0,1,performance,4,1.23.2
6,511.6037713400131,510.7122580000123,525.1879754499896,543.9826349997929,73816174625,3665164484,18409292951,6243897470,74.9,0,4.809,12.059,1845.93,6.1531,305,16.173,16.153,16.144,0.7465,89,89,0,1,performance,4,1.23.2
7,511.7360994433148,510.3819605001263,523.956103699993,575.3803829998105,73960513031,3660532720,18172907503,6166637447,75.45,0,4.85,11.969,1832.54,6.1085,305,16.168,16.148,16.138,0.7412,89,88,0,1,performance,4,1.23.2
8,508.9728746799816,507.73981050042494,524.6995716506717,551.2569190004797,73719469732,3646830195,18119779209,6121462792,75.45,0,4.802,12.004,1825.7,6.0857,303,16.168,16.142,16.132,0.7436,88,87,0,1,performance,4,1.23.2
